,index_x,article_order,fp_timestamp,headline,src_x,url,index_y,article_id_x,num_neg,num_tweets,prop_neg,sis,zsis,article_id_y,fp_url,status_id,level_0,index,link_name,num_angries,num_comments,num_hahas,num_likes,num_loves,num_reactions,num_sads,num_shares,num_thankfuls,num_wows,status_link,status_message,status_published,status_type,retrieved_time,src_y,prop_neg_fb,prop_angry_fb
43,191,6.0,2016-09-19-0722,Photos: Stunning red carpet gowns,wap,https://www.washingtonpost.com/lifestyle/see-what-celebrities-are-wearing-on-the-emmy-awards-red-carpet/2016/09/18/760bc710-7deb-11e6-8d0c-fb6c00c90481_gallery.html,493,2016-09-19-0722-wap-6,0,16,0.0,0.0275160299905,-0.836284725504,2016-09-19-0722-wap-6,https://www.washingtonpost.com/lifestyle/see-what-celebrities-are-wearing-on-the-emmy-awards-red-carpet/2016/09/18/760bc710-7deb-11e6-8d0c-fb6c00c90481_gallery.html,6250307292_10154149987132293,1752.0,45,See what celebrities are wearing on the Emmy Awards red carpet,1,16,0,75,3,80,0,18,0,1,http://wapo.st/2d4zzt2,The Emmys red carpet is already full of television's biggest and brightest.,2016-09-18 17:50:33,link,2016-09-19-1723,wap,0.0125,0.0125
44,200,15.0,2016-09-19-0722,Democrats seize moment to focus on Trump’s role in birtherism,wap,https://www.washingtonpost.com/politics/democrats-seize-on-trumps-birther-retreat-to-remind-voters-of-the-controversy/2016/09/18/f1a20a26-7dad-11e6-9070-5c4905bf40dc_story.html,299,2016-09-19-0722-wap-15,10,103,0.0970873786408,0.0958220616066,0.302680562236,2016-09-19-0722-wap-15,https://www.washingtonpost.com/politics/democrats-seize-on-trumps-birther-retreat-to-remind-voters-of-the-controversy/2016/09/18/f1a20a26-7dad-11e6-9070-5c4905bf40dc_story.html,6250307292_10154149592922293,1755.0,48,"For Democrats, a fresh chance to remind voters of Trump's role in 'birtherism'",21,247,35,1339,99,1515,8,136,0,13,http://wapo.st/2d02nyF,"""For a lot of people, it's brought up that anger again, and that anger is not going to dissipate before the election.""",2016-09-18 16:30:00,link,2016-09-19-1723,wap,0.0191419141914,0.0138613861386
45,203,18.0,2016-09-19-0722,Book Review: Hillary Clinton and Tim Kaine have written a deplorable campaign book,wap,https://www.washingtonpost.com/news/book-party/wp/2016/09/16/the-new-clintonkaine-campaign-book-is-just-deplorable/,244,2016-09-19-0722-wap-18,22,80,0.275,0.256584585563,2.98330670935,2016-09-19-0722-wap-18,https://www.washingtonpost.com/news/book-party/wp/2016/09/16/the-new-clintonkaine-campaign-book-is-just-deplorable/,6250307292_10154149525132293,1735.0,28,Hillary Clinton and Tim Kaine have written a deplorable campaign book,16,177,106,503,14,673,7,100,0,27,http://wapo.st/2cAw1Ml,"By the time I finished this book, I resented its existence, writes Carlos Lozada.",2016-09-19 04:30:00,link,2016-09-19-1723,wap,0.0341753343239,0.0237741456166
46,206,21.0,2016-09-19-0722,‘I am truly sorry’: Former Kansas State student apologizes for Snapchat image that went viral,wap,https://www.washingtonpost.com/news/grade-point/wp/2016/09/18/i-am-truly-sorry-former-kansas-state-student-apologizes-for-snapchat-image-that-had-racial-slur/,164,2016-09-19-0722-wap-21,1,34,0.0294117647059,0.0394327135524,-0.637580619865,2016-09-19-0722-wap-21,https://www.washingtonpost.com/news/grade-point/wp/2016/09/18/i-am-truly-sorry-former-kansas-state-student-apologizes-for-snapchat-image-that-had-racial-slur/,6250307292_10154149521747293,1759.0,52,'I am truly sorry': Former Kansas State student apologizes for Snapchat image that had racial slur,33,91,6,107,4,159,6,38,0,3,http://wapo.st/2cIkKsm,"A former Kansas State University student has apologized for a Snapchat image that went viral, with many sharing it on social media as a symbol of racism on campus.",2016-09-18 15:30:00,link,2016-09-19-1723,wap,0.245283018868,0.207547169811
47,213,28.0,2016-09-19-0722,Scientists published climate research under fake names. Then they were caught.,wap,https://www.washingtonpost.com/news/morning-mix/wp/2016/09/19/scientists-published-climate-research-under-fake-names-then-they-were-caught/,777,2016-09-19-0722-wap-28,8,85,0.0941176470588,0.0928740914111,0.253524790154,2016-09-19-0722-wap-28,https://www.washingtonpost.com/news/morning-mix/wp/2016/09/19/scientists-published-climate-research-under-fake-names-then-they-were-caught/,6250307292_10154152606632293,1714.0,7,Scientists published climate research under fake names. Then they were caught.,2,15,8,89,2,108,2,31,0,5,http://wapo.st/2dbl6HX,The scientists briefly known as Den Volokin and Lark ReLlez thought they had found something big.,2016-09-19 13:00:00,link,2016-09-19-1723,wap,0.037037037037,0.0185185185185
48,214,29.0,2016-09-19-0722,Husband in real-life ‘Fault in our Stars’ couple dies from cystic fibrosis complications,wap,https://www.washingtonpost.com/news/morning-mix/wp/2016/09/19/husband-in-real-life-fault-in-our-stars-couple-dies-at-25-from-cystic-fibrosis-complications/,625,2016-09-19-0722-wap-29,1,14,0.0714285714286,0.0747139711434,-0.0492851684506,2016-09-19-0722-wap-29,https://www.washingtonpost.com/news/morning-mix/wp/2016/09/19/husband-in-real-life-fault-in-our-stars-couple-dies-at-25-from-cystic-fibrosis-complications/,6250307292_10154152105592293,1726.0,19,Husband in real-life 'Fault in our Stars' couple dies from cystic fibrosis complications,2,36,1,263,50,819,503,72,0,0,https://www.washingtonpost.com/news/morning-mix/wp/2016/09/19/husband-in-real-life-fault-in-our-stars-couple-dies-at-25-from-cystic-fibrosis-complications/?tid=sm_fb,"Before she died, Katie had one last wish: to see her husband in person.",2016-09-19 09:04:45,link,2016-09-19-1723,wap,0.616605616606,0.002442002442
49,219,1.0,2016-09-19-0722,US study charts rise of hardcore super-owners,gua,https://www.theguardian.com/us-news/2016/sep/19/us-gun-ownership-survey,131,2016-09-19-0722-gua-1,12,211,0.0568720379147,0.0577611763543,-0.331963642638,2016-09-19-0722-gua-1,https://www.theguardian.com/us-news/2016/sep/19/us-gun-ownership-survey,10513336322_10154543136446323,2745.0,30,'More guns in fewer hands' - US study charts rise of hardcore super owners,104,141,20,369,2,614,75,442,0,44,https://www.theguardian.com/us-news/2016/sep/19/us-gun-ownership-survey?CMP=fb_gu,"Americans own an estimated 265m guns, more than one gun for every American adult, according to the most definitive portrait of US gun ownership in two decades. But the new survey estimates that 130m of these guns are concentrated in the hands of just 3% of American adults – a group of super-owners who have amassed an average of 17 guns each.",2016-09-19 06:20:14,link,2016-09-19-1723,gua,0.291530944625,0.169381107492
50,221,3.0,2016-09-19-0722,Five more devices found at train station in New Jersey,gua,https://www.theguardian.com/us-news/2016/sep/19/new-york-bombing-both-devices-used-pressure-cooker-and-phone-reports,556,2016-09-19-0722-gua-3,5,102,0.0490196078431,0.0513813810648,-0.438343199547,2016-09-19-0722-gua-3,https://www.theguardian.com/us-news/2016/sep/19/new-york-bombing-both-devices-used-pressure-cooker-and-phone-reports,10513336322_10154542638186323,2759.0,48,New York bombing: five more explosive devices found at railway station,127,57,0,308,2,652,151,271,0,64,https://www.theguardian.com/us-news/2016/sep/19/new-york-bombing-both-devices-used-pressure-cooker-and-phone-reports?CMP=fb_gu,Five explosive devices have been found in a backpack at a train station in New Jersey as the security alert gripping America ratcheted up in the wake of the Manhattan bombing.,2016-09-19 01:21:28,link,2016-09-19-1723,gua,0.426380368098,0.194785276074
51,224,6.0,2016-09-19-0722,Embassies report rise in alleged hate crimes in UK since Brexit vote,gua,https://www.theguardian.com/society/2016/sep/19/embassies-alleged-hate-crimes-since-brexit-vote,535,2016-09-19-0722-gua-6,13,76,0.171052631579,0.162057673074,1.40712273943,2016-09-19-0722-gua-6,https://www.theguardian.com/society/2016/sep/19/embassies-alleged-hate-crimes-since-brexit-vote,10513336322_10154542792451323,2753.0,38,Embassies report rise in alleged hate crimes in UK since Brexit vote,236,66,4,277,0,776,249,339,0,10,https://www.theguardian.com/society/2016/sep/19/embassies-alleged-hate-crimes-since-brexit-vote?CMP=fb_gu,"The Guardian contacted the London embassies of all 27 EU member states. Of the 17 embassies that replied, almost half reported a rise in incidents of xenophobic abuse in the 12 weeks since the EU referendum. Between them, there were 60 incidents logged, including shots fired at a Lithuanian home in Northern Ireland, an arson attack on a Romanian shop in Norwich and a break-in at a home in Nottingham in the immediate aftermath of the vote when a Latvian family were called ""f**king immigrants"" and told to leave the UK.",2016-09-19 04:20:00,link,2016-09-19-1723,gua,0.625,0.30412371134
52,230,12.0,2016-09-19-0722,Finally an awards show that didn’t suck,gua,https://www.theguardian.com/tv-and-radio/2016/sep/19/emmy-awards-2016-review-game-of-thrones-people-v-oj,548,2016-09-19-0722-gua-12,0,27,0.0,0.0189545687211,-0.97904235565,2016-09-19-0722-gua-12,https://www.theguardian.com/tv-and-radio/2016/sep/19/emmy-awards-2016-review-game-of-thrones-people-v-oj,10513336322_10154542676961323,2754.0,39,Finally an awards show that didn't suck: 2016 Emmys broke more than one trend,0,15,5,216,5,226,0,12,0,0,https://www.theguardian.com/tv-and-radio/2016/sep/19/emmy-awards-2016-review-game-of-thrones-people-v-oj?CMP=fb_gu,"""These awards were generally so well-deserved it's almost as though the Academy looked at TV fanatics' Twitter feeds to see who they should vote for because they were afraid of the internet trolling them for another year.""",2016-09-19 04:00:00,link,2016-09-19-1723,gua,0.0,0.0
53,232,14.0,2016-09-19-0722,Momentum Kids isn’t weird and sinister. It’s helping women engage,gua,https://www.theguardian.com/commentisfree/2016/sep/19/momentum-kids-weird-sinister-helping-women-engage-politics-childcare,604,2016-09-19-0722-gua-14,9,64,0.140625,0.133651138395,0.933459489214,2016-09-19-0722-gua-14,https://www.theguardian.com/commentisfree/2016/sep/19/momentum-kids-weird-sinister-helping-women-engage-politics-childcare,10513336322_10154543140091323,2744.0,29,Momentum Kids isn't weird and sinister. It's helping women engage,0,55,4,304,11,321,1,40,0,1,https://www.theguardian.com/commentisfree/2016/sep/19/momentum-kids-weird-sinister-helping-women-engage-politics-childcare?CMP=fb_gu,"""This is being mocked because it comes from Momentum, who have also said they want to increase children's involvement in politics through fun and engaging activities. Shrieks of cult, ""tiny trots"", ""Hitler youth"" and ""child soldiers"" have been the response online to the news they might run some breakfast clubs.""",2016-09-19 06:40:00,link,2016-09-19-1723,gua,0.00311526479751,0.0
54,233,15.0,2016-09-19-0722,Wiggins faces a fight for his reputation in wake of scandal,gua,https://www.theguardian.com/sport/2016/sep/18/bradley-wiggins-world-anti-doping-agency-hackers-russian-leak,579,2016-09-19-0722-gua-15,11,76,0.144736842105,0.138347885389,1.01177514692,2016-09-19-0722-gua-15,https://www.theguardian.com/sport/2016/sep/18/bradley-wiggins-world-anti-doping-agency-hackers-russian-leak,10513336322_10154542613641323,2760.0,49,Bradley Wiggins faces a fight for his reputation in wake of Wada hack,6,86,18,211,4,259,14,54,0,6,https://www.theguardian.com/sport/2016/sep/18/bradley-wiggins-world-anti-doping-agency-hackers-russian-leak?CMP=fb_gu,"""The problem for Bradley Wiggins, for Brailsford, for Team Sky and even for British Cycling as a whole is that, having insisted so publicly and so vehemently they would be whiter than white, anything less starts to look like hypocrisy.""",2016-09-19 01:02:40,link,2016-09-19-1723,gua,0.0772200772201,0.023166023166
55,235,17.0,2016-09-19-0722,Alistair Brownlee gives up chance to win to help 'dazed' Jonny,gua,https://www.theguardian.com/sport/2016/sep/19/alistair-brownlee-jonny-world-triathlon-series,313,2016-09-19-0722-gua-17,15,108,0.138888888889,0.134676892371,0.950563369289,2016-09-19-0722-gua-17,https://www.theguardian.com/sport/2016/sep/19/alistair-brownlee-jonny-world-triathlon-series,10513336322_10154542748016323,1439.0,43,Alistair Brownlee gives up chance to win to help stricken Jonny over line,2,293,5,15872,1793,17803,7,1350,0,128,https://www.theguardian.com/sport/2016/sep/19/alistair-brownlee-jonny-world-triathlon-series?CMP=fb_gu,Brothers in arms.,2016-09-19 03:00:00,link,2016-09-19-1723,gua,0.000505532775375,0.00011234061675
56,237,19.0,2016-09-19-0722,Ten talking points from the weekend’s action,gua,https://www.theguardian.com/football/blog/2016/sep/19/premier-league-10-talking-points-from-weekend-action,439,2016-09-19-0722-gua-19,0,79,0.0,0.00767122832769,-1.16718581434,2016-09-19-0722-gua-19,https://www.theguardian.com/football/blog/2016/sep/19/premier-league-10-talking-points-from-weekend-action,10513336322_10154542791906323,2642.0,42,Premier League: 10 talking points from the weekend's action,2,5,1,67,2,74,1,3,0,1,https://www.theguardian.com/football/blog/2016/sep/19/premier-league-10-talking-points-from-weekend-action?CMP=fb_gu,"Even for the Premier League, there's quite a lot to talk about after this weekend.",2016-09-19 03:11:13,link,2016-09-19-1723,gua,0.0405405405405,0.027027027027
57,239,21.0,2016-09-19-0722,The idea of a 'post-truth society' is elitist and obnoxious,gua,https://www.theguardian.com/science/blog/2016/sep/19/the-idea-post-truth-society-elitist-obnoxious,338,2016-09-19-0722-gua-21,12,89,0.134831460674,0.130145573741,0.875006138023,2016-09-19-0722-gua-21,https://www.theguardian.com/science/blog/2016/sep/19/the-idea-post-truth-society-elitist-obnoxious,10513336322_10154542769721323,2748.0,33,The idea of a 'post-truth society' is elitist and obnoxious,45,87,16,566,8,642,5,218,0,2,https://www.theguardian.com/science/blog/2016/sep/19/the-idea-post-truth-society-elitist-obnoxious?CMP=fb_gu,"""People's attraction to some of the dodgiest claims of the referendum was a signal of many things, but it was not an invitation to people in authority to abandon the principle of truthfulness in public life.""",2016-09-19 05:40:00,link,2016-09-19-1723,gua,0.0778816199377,0.0700934579439
58,241,23.0,2016-09-19-0722,Here’s how the left unites to oppose the Tories – without forming a new party,gua,https://www.theguardian.com/commentisfree/2016/sep/19/jeremy-corbyn-reelected-infighting-left,499,2016-09-19-0722-gua-23,3,28,0.107142857143,0.100956516192,0.388294751882,2016-09-19-0722-gua-23,https://www.theguardian.com/commentisfree/2016/sep/19/jeremy-corbyn-reelected-infighting-left,10513336322_10154543015866323,3350.0,18,First job for a re-elected Corbyn? Stop the infighting that's hurting the left | Shirley Williams,1,48,0,120,4,125,0,15,0,0,https://www.theguardian.com/commentisfree/2016/sep/19/jeremy-corbyn-reelected-infighting-left?CMP=fb_gu,"""Allowing ancient prejudices to stand in the way of saving our most precious institutions and rights is unforgiveable. Parties can work together on legislation on which they agree. In some instances, such as the NHS and workers' rights, the centre-left parties may well command a majority in the House of Commons.""",2016-09-20 03:20:00,link,2016-09-20-1003,gua,0.008,0.008
59,243,25.0,2016-09-19-0722,Why do we steer so many 18-year-olds towards university before they are ready?,gua,https://www.theguardian.com/education/2016/sep/19/university-tuition-fees-students-delay-going,811,2016-09-19-0722-gua-25,6,112,0.0535714285714,0.0554210375646,-0.370984162304,2016-09-19-0722-gua-25,https://www.theguardian.com/education/2016/sep/19/university-tuition-fees-students-delay-going,10513336322_10154542766696323,2750.0,35,Why do we steer so many 18-year-olds towards university before they are ready?,6,441,3,7429,201,7694,40,1821,0,15,https://www.theguardian.com/education/2016/sep/19/university-tuition-fees-students-delay-going?CMP=fb_gu,"""Today's young adults are rarely advised to take a year or two out to work and make sure they want to go to university. While it's in the short-term interests of both schools and universities for most to go straight away, it's not in the interests of students themselves.""",2016-09-19 05:20:00,link,2016-09-19-1723,gua,0.00597868468937,0.000779828437744
60,245,27.0,2016-09-19-0722,A world without work is coming – it could be utopia or it could be hell,gua,https://www.theguardian.com/commentisfree/2016/sep/19/world-without-work-utopia-hell-human-labour-obsolete,405,2016-09-19-0722-gua-27,29,470,0.0617021276596,0.0620255038178,-0.260858341369,2016-09-19-0722-gua-27,https://www.theguardian.com/commentisfree/2016/sep/19/world-without-work-utopia-hell-human-labour-obsolete,10513336322_10154542734706323,1812.0,16,A world without work is coming – it could be utopia or it could be hell,2,69,2,495,8,524,1,350,0,16,https://www.theguardian.com/commentisfree/2016/sep/19/world-without-work-utopia-hell-human-labour-obsolete?CMP=fb_gu,"""Just as a lottery cheque does not free the winner from the shackles of the human condition, all-purpose machine intelligence will not magically allow us all to get along. And what is especially tricky about a world without work is that we must begin building the social institutions to survive it long before the technological obsolescence of human workers actually arrives.""",2016-09-19 11:00:00,link,2016-09-19-1723,gua,0.00572519083969,0.00381679389313
